code,code_name
sz.399010,深证700指数
sz.399011,深证1000指数
sz.399012,创业板300
sz.399013,深市精选指数
sz.399015,深证中小创新指数
sz.399100,深证新指数
sz.399101,中小企业综合指数
sz.399102,创业板综合指数
sz.399103,乐富基金指数
sz.399106,深证综合指数
sz.399107,深证A股指数
sz.399108,深证B股指数
sz.399231,农林牧渔指数
sz.399232,采矿业指数
sz.399233,制造业指数
sz.399234,水电煤气指数
sz.399235,建筑业指数
sz.399236,批发零售指数
sz.399237,运输仓储指数
sz.399238,住宿餐饮指数
sz.399239,信息技术指数
sz.399240,金融业指数
sz.399241,房地产业指数
sz.399242,商务服务指数
sz.399243,科研服务指数
sz.399244,公共环保指数
sz.399248,文化传播指数
sz.399249,综合类指数
sz.399298,深证中高等级信用债指数
sz.399299,深证中低等级信用债指数
sz.399300,沪深300指数
sz.399301,深证信用债综合指数
sz.399302,深证公司债综合指数
sz.399303,国证2000指数
sz.399306,深证ETF指数
sz.399307,深证可转债指数
sz.399310,国证A50指数
sz.399311,国证1000指数
sz.399312,国证300指数
sz.399313,巨潮100指数
sz.399314,巨潮大盘指数
sz.399315,巨潮中盘指数
sz.399316,巨潮小盘指数
sz.399317,国证A股指数
sz.399318,国证B股指数
sz.399319,国证资源优势指数
sz.399320,国证公共服务指数
sz.399321,国证红利指数
sz.399322,国证治理指数
sz.399324,深证红利指数
sz.399326,深证成长40指数
sz.399328,深证治理指数
sz.399330,深证100指数(价格)
sz.399333,中小企业100全收益指数
sz.399335,深证央企指数
sz.399337,深证民营指数
sz.399339,深证科技指数
sz.399341,深证责任指数
sz.399344,深证300指数(收益)
sz.399346,深证300成长指数
sz.399348,深证300价值指数
sz.399350,国证皖江30指数
sz.399351,国证深圳创新示范100指数
sz.399352,国证深圳企业综合指数
sz.399353,国证物流行业指数
sz.399355,国证长三角指数
sz.399356,国证珠三角指数
sz.399357,国证环渤海指数
sz.399358,国证环保指数
sz.399359,国证基建指数
sz.399360,国证新硬件产业指数
sz.399361,国证在线消费指数
sz.399362,国证民企领先100指数
sz.399363,国证算力基础设施主题指数
sz.399364,国证消费100指数
sz.399365,国证粮食产业指数
sz.399366,国证能源金属指数
sz.399367,国证1000房地产行业指数
sz.399368,国证航天军工指数
sz.399369,国证社会责任指数
sz.399370,国证1000成长指数
sz.399371,国证1000价值指数
sz.399372,国证大盘成长指数
sz.399373,国证大盘价值指数
sz.399374,巨潮中盘成长指数
sz.399375,巨潮中盘价值指数
sz.399376,巨潮小盘成长指数
sz.399377,巨潮小盘价值指数
sz.399378,国证ESG300指数
sz.399379,国证基金指数
sz.399380,国证ETF指数
sz.399381,国证1000能源行业指数
sz.399382,国证1000原材料行业指数
sz.399383,国证1000工业行业指数
sz.399384,国证1000可选消费行业指数
sz.399385,国证1000主要消费行业指数
sz.399386,国证1000医药卫生行业指数
sz.399387,国证1000金融地产行业指数
sz.399388,国证1000信息技术行业指数
sz.399389,国证通信指数
sz.399390,国证1000公用事业行业指数
sz.399391,国证投资时钟指数
sz.399392,国证战略性新兴产业指数
sz.399393,国证房地产行业指数
sz.399394,国证医药卫生行业指数
sz.399395,国证有色金属行业指数
sz.399396,国证食品饮料行业指数
sz.399397,国证文化产业指数
sz.399398,国证绩效指数
sz.399399,国证中经GDP指数
sz.399400,巨潮大中盘指数
sz.399401,巨潮中小盘指数
sz.399402,国证周期行业100指数
sz.399403,国证防御行业100指数
sz.399405,巨潮大盘高贝塔指数
sz.399406,巨潮中盘低波动率指数
sz.399407,巨潮中盘高贝塔指数
sz.399408,巨潮小盘低波动率指数
sz.399409,巨潮小盘高贝塔指数
sz.399410,苏州率先指数
sz.399411,国证红利加权100指数
sz.399412,国证新能源指数
sz.399413,国证可转债指数
sz.399415,大数据100指数
sz.399416,大数据300指数
sz.399417,国证新能源汽车指数
sz.399418,国证数据要素主题指数
sz.399419,国证高铁指数
sz.399420,国证保险证券指数
sz.399423,中关村50指数
sz.399428,国证定向增发指数
sz.399429,新丝路指数
sz.399431,国证银行行业指数
sz.399432,国证电动智能汽车指数
sz.399433,国证交通运输行业指数
sz.399434,国证数字传媒主题指数
sz.399435,国证农牧渔产品行业指数
sz.399436,国证绿色煤炭指数
sz.399437,国证证券龙头指数
sz.399438,国证绿色电力指数
sz.399439,国证石油天然气指数
sz.399440,国证钢铁行业指数
sz.399441,国证生物医药指数
sz.399481,国证企债指数
sz.399550,央视财经50指数
sz.399551,央视财经50创新领先指数
sz.399552,央视财经50成长领先指数
sz.399553,央视财经50回报领先指数
sz.399554,央视财经50治理领先指数
sz.399555,央视财经50责任领先指数
sz.399556,央视生态产业指数
sz.399557,央视文化产业指数
sz.399602,中小板300成长指数
sz.399604,中小板300价值指数
sz.399606,创业板指数(收益)
sz.399608,国证科技100指数
sz.399610,深证电子信息传媒产业50指数
sz.399611,中小企业板创业板100指数(收益)
sz.399612,中小创业企业100指数
sz.399613,深证能源指数
sz.399614,深证原材料行业指数
sz.399615,深证工业行业指数
sz.399616,深证可选消费行业指数
sz.399617,深证主要消费行业指数
sz.399618,深证医药卫生行业指数
sz.399619,深证金融地产行业指数
sz.399620,深证信息技术行业指数
sz.399621,深证电信业务行业指数
sz.399622,深证公用事业行业指数
sz.399623,中小企业基础市场指数
sz.399624,中小创业企业400指数
sz.399625,中小创业企业500指数
sz.399626,中小创业企业成长指数
sz.399627,中小创业企业价值指数
sz.399628,深证700成长指数
sz.399629,深证700价值指数
sz.399630,深证1000成长指数
sz.399631,深证1000价值指数
sz.399632,深证100等权重指数
sz.399633,深证300等权重指数
sz.399634,中小企业100等权重指数
sz.399635,创业板等权重指数
sz.399636,深证装备指数
sz.399637,深证地产指数
sz.399638,深证环保指数
sz.399639,深证大宗商品生产商指数
sz.399640,创业板基础市场指数
sz.399641,深证战略性新兴产业指数
sz.399642,中小企业战略性新兴产业指数
sz.399643,创业板战略性新兴产业指数
sz.399644,深证色诺芬投资时钟指数
sz.399645,深证100低波动率指数
sz.399646,深证消费50指数
sz.399647,深证医药50指数
sz.399648,深证中经矢量GDP100指数
sz.399649,中小企业红利指数
sz.399650,中小企业治理指数
sz.399651,中小企业社会责任指数
sz.399652,中创高新技术企业指数
sz.399653,深证行业龙头指数
sz.399654,深证文化产业指数
sz.399655,深证绩效指数
sz.399656,深证100绩效加权指数
sz.399657,深证300绩效加权指数
sz.399658,中小100绩效加权指数
sz.399659,深证成份等权重指数
sz.399660,中创100等权重指数
sz.399661,深证300低波动率指数
sz.399662,深证300高贝塔指数
sz.399663,中小300低波动率指数
sz.399664,中小300高贝塔指数
sz.399665,中创500低波动率指数
sz.399666,中创500高贝塔指数
sz.399667,创业板成长指数
sz.399668,创业板300价值指数
